nct_id,brief_title,condition,phase,overall_status,start_date,primary_completion_date,completion_date,enrollment_count,enrollment_type,why_stopped,sponsor_name,location_countries
NCT03301792,Group Versus Traditional Prenatal Care for Diabetes,Pregnancy; Gestational Diabetes; Type 2 Diabetes,NA,ACTIVE_NOT_RECRUITING,2017-09-14,2025-11-17,2026-05,117.0,ESTIMATED,,Washington University School of Medicine,United States
NCT03887936,Testosterone Therapy and Bone Quality in Men With Diabetes and Hypogonadism,Type 2 Diabetes Mellitus; Hypogonadism,PHASE4,COMPLETED,2019-10-01,2025-10-08,2025-10-08,92.0,ACTUAL,,VA Office of Research and Development,United States
NCT05847907,RCT KS-SA Versur KS-BA in Diabetic Patients,Dental Implant; Diabetes,NA,NOT_YET_RECRUITING,2023-04-30,2024-12-31,2028-01-30,50.0,ESTIMATED,,Università degli Studi di Sassari,Italy
NCT03832907,Dexcom G6 Observational Study,Diabetes,NA,COMPLETED,2019-02-21,2020-03-31,2020-03-31,101.0,ACTUAL,,Emory University,United States
NCT03414892,Multiple Ascending Doses of Globalagliatin Hydrochloride in Type 2 Diabetes Mellitus,Hyperglycaemia (Diabetic); Type 2 Diabetes Mellitus,PHASE1,COMPLETED,2018-01-03,2019-01-04,2019-12-01,24.0,ACTUAL,,Yabao Pharmaceutical Group,China
NCT01141192,The Effect of Vitamin D Supplementation on Glucose Metabolism in Non-Diabetic African American Adults,Type 2 Diabetes,NA,COMPLETED,2010-01,2010-05,2010-05,48.0,ACTUAL,,Augusta University,United States
NCT03406663,The Korean TITRATION Study: Comparison of the Self-titration Methods for Glargine-300,Type 2 Diabetes Mellitus,NA,COMPLETED,2017-10-01,2020-01-17,2020-07-14,130.0,ACTUAL,,Seoul National University Hospital,South Korea
NCT05427084,Canagliflozin Targeting Vascular Inflammation,Diabetes Type 2; Coronary Artery Disease,PHASE2; PHASE3,RECRUITING,2024-11-15,2026-12,2026-12,24.0,ESTIMATED,,Ottawa Heart Institute Research Corporation,Canada
NCT04125784,Lipid Profile and Diabetes Mellitus in People With HIV,HIV Infections; Dyslipidemias; Diabetes Mellitus; Cardiovascular Risk Factor,,COMPLETED,2021-08-01,2022-12-30,2023-02-28,450.0,ACTUAL,,Moritz Oberndorfer,Austria
NCT04340648,"Measurement Algorithm Control, Optimization, and Performance Evaluation of the Vital USA GlucoseDetect",Diabetes Mellitus,NA,COMPLETED,2019-06-03,2019-10-31,2019-11-30,32.0,ACTUAL,,Sciema UG,Germany
